"","IND_SSKIN","IND_FAT","IND_BRAIN","IND_CO","IND_KIDNEY","IND_GONAD","IND_LIVER","IND_HCT","IND_HEART","IND_MUSCLE","IND_INTESTINE","IND_STOMACH","IND_LUNG","IND_VSKIN","IND_MARR","IND_PANCREAS","IND_SPLEEN","Result_Hair","Result_Liver","Result_Brain","Result_Kidney","Result_Urine","Final_urine","Final"
"11","Deepika et al. (2021)","Smith et al. (2014)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787801967348835,0.772886653840289,0.942835082310308,1.04212337296841,132.626437482866,27.2344169118667,0.88641176911696
"12","Pearce et al. (2017)","Smith et al. (2014)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787802099681469,0.772887689200473,0.942833374010471,1.04212291219766,132.626380265597,27.2344052681375,0.886411518772519
"13","Mallick et al. (2019)","Pendse et al. (2020)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.788177801248496,0.772716541190749,0.942287774017235,1.0423203888154,132.60751635355,27.2306037717644,0.88637562631797
"14","Deepika et al. (2021)","Pendse et al. (2020)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.788176799270438,0.772713335456521,0.942293641053542,1.04232217108418,132.607691097401,27.2306394088532,0.88637648671617
"15","Pearce et al. (2017)","Pendse et al. (2020)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.788176931262254,0.772714371232549,0.942291934622529,1.04232171034542,132.607633886156,27.2306277667238,0.886376236865688
"16","Mallick et al. (2019)","Deepika et al. (2021)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787848461057731,0.772827639000173,0.94221912191309,1.04213777104786,132.597525316296,27.2285116618629,0.886258248254715
"17","Deepika et al. (2021)","Deepika et al. (2021)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787847458263868,0.772824434107252,0.9422249879383,1.04213955246575,132.59769998474,27.228547283503,0.886259108193793
"18","Pearce et al. (2017)","Deepika et al. (2021)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.78784759055098,0.772825469677839,0.942223281781707,1.04213909191284,132.59764280218,27.2285356472207,0.886258858480842
"19","Mallick et al. (2019)","Smith et al. (2014)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787806285255544,0.772903289006901,0.942804488162887,1.04211448034062,132.625531280895,27.2342319647323,0.886407135691489
"20","Deepika et al. (2021)","Smith et al. (2014)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787805881700145,0.77290224889324,0.942806092722966,1.04211503505827,132.625589927668,27.2342438372086,0.886407314593656
"21","Pearce et al. (2017)","Smith et al. (2014)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787805923937076,0.772902572017017,0.942805613359029,1.04211490567223,132.62557033524,27.2342398700451,0.886407253746339
"22","Mallick et al. (2019)","Pendse et al. (2020)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.788181112516261,0.772729978666767,0.942263083329661,1.04231327718465,132.606785105601,27.2304545114596,0.886371862924335
"23","Deepika et al. (2021)","Pendse et al. (2020)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.788180709139727,0.77272893798302,0.942264689065838,1.04231383303319,132.606843752264,27.2304663842972,0.886372042305443
"24","Pearce et al. (2017)","Pendse et al. (2020)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.788180751297476,0.772729261231376,0.942264209233376,1.04231370336969,132.60682415265,27.2304624155564,0.88637198128298
"25","Mallick et al. (2019)","Deepika et al. (2021)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787851775614987,0.772841072550117,0.942194434888104,1.04213066271288,132.596794348594,27.2283624588721,0.886254486441523
"26","Deepika et al. (2021)","Deepika et al. (2021)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787851372025464,0.77284003236111,0.942196038205098,1.04213121763693,132.596852967778,27.2283743256014,0.88625466505715
"27","Pearce et al. (2017)","Deepika et al. (2021)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787851414293671,0.772840355476316,0.942195559157397,1.04213108821569,132.596833382006,27.2283703598298,0.886254604285769
"28","Mallick et al. (2019)","Smith et al. (2014)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787804311632313,0.77288627455296,0.942840129347834,1.04212366963255,132.62615228848,27.234361334729,0.886413596291413
"29","Deepika et al. (2021)","Smith et al. (2014)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787804311632313,0.77288627455296,0.942840129347834,1.04212366963255,132.62615228848,27.234361334729,0.886413596291413
"30","Pearce et al. (2017)","Smith et al. (2014)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787804311632313,0.77288627455296,0.942840129347834,1.04212366963255,132.62615228848,27.234361334729,0.886413596291413
"31","Mallick et al. (2019)","Pendse et al. (2020)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.788178785910361,0.772712989035132,0.942298460202998,1.0423223460197,132.607400029501,27.2305825221338,0.886378145292047
"32","Deepika et al. (2021)","Pendse et al. (2020)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.788178785910361,0.772712989035132,0.942298460202998,1.0423223460197,132.607400029501,27.2305825221338,0.886378145292047
"33","Pearce et al. (2017)","Pendse et al. (2020)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.788178785910361,0.772712989035132,0.942298460202998,1.0423223460197,132.607400029501,27.2305825221338,0.886378145292047
"34","Mallick et al. (2019)","Deepika et al. (2021)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787849654989145,0.772824013190415,0.94223003022322,1.04213982838798,132.59742289385,27.2284932841282,0.88626088169769
"35","Deepika et al. (2021)","Deepika et al. (2021)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787849654989145,0.772824013190415,0.94223003022322,1.04213982838798,132.59742289385,27.2284932841282,0.88626088169769
"36","Pearce et al. (2017)","Deepika et al. (2021)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787849654989145,0.772824013190415,0.94223003022322,1.04213982838798,132.59742289385,27.2284932841282,0.88626088169769
"37","Mallick et al. (2019)","Smith et al. (2014)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787805351134804,0.77289036228489,0.942838120272547,1.04212171305356,132.626011889262,27.2343334872015,0.88641388668645
"38","Deepika et al. (2021)","Smith et al. (2014)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787804348142738,0.772887158291689,0.942843993334577,1.04212349491524,132.626186661587,27.2343691312543,0.88641474867106
"39","Pearce et al. (2017)","Smith et al. (2014)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787804480470301,0.772888193607618,0.942842285133082,1.04212303415192,132.626129443974,27.2343574874675,0.88641449834073
"40","Mallick et al. (2019)","Pendse et al. (2020)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.788179823311965,0.772717078665903,0.942296477408291,1.04232039328517,132.607259705254,27.230554695585,0.886378443167832
"41","Deepika et al. (2021)","Pendse et al. (2020)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.788178821335322,0.772713873072804,0.942302344087165,1.04232217550567,132.607434449037,27.2305903326076,0.886379303500241
"42","Pearce et al. (2017)","Pendse et al. (2020)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.788178953322738,0.772714908805215,0.942300637758002,1.04232171477405,132.607377237626,27.2305786904572,0.886379053665001
"43","Mallick et al. (2019)","Deepika et al. (2021)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787850692927547,0.772828101988127,0.942228034551044,1.04213787373046,132.59728260008,27.2284654606554,0.886261175799295
"44","Deepika et al. (2021)","Deepika et al. (2021)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787849690137081,0.772824897235953,0.94223390022431,1.04213965510076,132.597457268797,27.228501082299,0.886262035674526
"45","Pearce et al. (2017)","Deepika et al. (2021)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787849822419091,0.772825932763847,0.942232194165492,1.04213919455502,132.597400085837,27.2284894459481,0.886261785975863
"46","Mallick et al. (2019)","Smith et al. (2014)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787808666010062,0.772903792729788,0.942813400964289,1.04211460249552,132.625280457633,27.2341841839666,0.886410115549914
"47","Deepika et al. (2021)","Smith et al. (2014)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787808262461702,0.772902752648314,0.942815005393456,1.04211515720044,132.62533910475,27.2341960564908,0.886410294425978
"48","Pearce et al. (2017)","Smith et al. (2014)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.787808304695751,0.772903075762292,0.942814526069166,1.04211502781552,132.625319512185,27.2341920893056,0.886410233585683
"49","Mallick et al. (2019)","Pendse et al. (2020)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.788183134552457,0.772730515554654,0.942271788153523,1.04231328181678,132.606528455432,27.2304054351018,0.886374680019354
"50","Deepika et al. (2021)","Pendse et al. (2020)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.788182731182213,0.772729474903384,0.942273393760402,1.04231383765394,132.606587102302,27.2304173079603,0.886374859374986
"51","Pearce et al. (2017)","Pendse et al. (2020)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Smith et al. (2014)","Haddad et al. (2001)",0.78818277333718,0.772729798141943,0.942272913968041,1.04231370799059,132.606567502484,27.2304133391843,0.886374798359437
